time: 49306080
x[5]: = -38 , y[5]: = 227 , z[5]: = 63  , avg[5]: = 238.625229
x[6]: = -41 , y[6]: = 230 , z[6]: = 59  , avg[6]: = 240.960578
x[7]: = -38 , y[7]: = 228 , z[7]: = 63  , avg[7]: = 239.576710
x[8]: = -38 , y[8]: = 229 , z[8]: = 65  , avg[8]: = 241.060158
x[9]: = -31 , y[9]: = 229 , z[9]: = 70  , avg[9]: = 241.458071
time: 49313048
x[0]: = -31 , y[0]: = 232 , z[0]: = 69  , avg[0]: = 244.020491
x[1]: = -32 , y[1]: = 231 , z[1]: = 70  , avg[1]: = 243.485112
x[2]: = -34 , y[2]: = 231 , z[2]: = 65  , avg[2]: = 242.367490
x[3]: = -39 , y[3]: = 229 , z[3]: = 63  , avg[3]: = 240.688595
x[4]: = -40 , y[4]: = 229 , z[4]: = 62  , avg[4]: = 240.593017
x[5]: = -39 , y[5]: = 231 , z[5]: = 63  , avg[5]: = 242.592250
x[6]: = -40 , y[6]: = 231 , z[6]: = 62  , avg[6]: = 242.497423
x[7]: = -41 , y[7]: = 232 , z[7]: = 63  , avg[7]: = 243.872918
x[8]: = -41 , y[8]: = 231 , z[8]: = 63  , avg[8]: = 242.921798
x[9]: = -40 , y[9]: = 230 , z[9]: = 62  , avg[9]: = 241.545027
time: 49313448
x[0]: = -39 , y[0]: = 231 , z[0]: = 65  , avg[0]: = 243.119312
x[1]: = -44 , y[1]: = 236 , z[1]: = 61  , avg[1]: = 247.695377
x[2]: = -64 , y[2]: = 255 , z[2]: = 50  , avg[2]: = 267.621001
x[3]: = -44 , y[3]: = 291 , z[3]: = 145 , avg[3]: = 328.088403
x[4]: = -55 , y[4]: = 314 , z[4]: = 108 , avg[4]: = 336.578371
x[5]: = -39 , y[5]: = 298 , z[5]: = 128 , avg[5]: = 326.663435
x[6]: = -36 , y[6]: = 288 , z[6]: = 117 , avg[6]: = 312.936096
x[7]: = -32 , y[7]: = 269 , z[7]: = 95  , avg[7]: = 287.071420
x[8]: = -28 , y[8]: = 248 , z[8]: = 76  , avg[8]: = 260.890782
x[9]: = -33 , y[9]: = 243 , z[9]: = 73  , avg[9]: = 255.865199
time: 49313872
x[0]: = -39 , y[0]: = 257 , z[0]: = 84  , avg[0]: = 273.177598
x[1]: = -40 , y[1]: = 215 , z[1]: = 53  , avg[1]: = 225.019999
x[2]: = -28 , y[2]: = 182 , z[2]: = 40  , avg[2]: = 188.435665
x[3]: = -4  , y[3]: = 100 , z[3]: = -5  , avg[3]: = 100.204790
x[4]: = 5   , y[4]: = 41  , z[4]: = -33 , avg[4]: = 52.867760
x[5]: = 3   , y[5]: = 19  , z[5]: = -44 , avg[5]: = 48.020829
x[6]: = -8  , y[6]: = 39  , z[6]: = -21 , avg[6]: = 45.011110
